dataset,model,feature,feature_label,repeat,average_precision_decrease
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,26,0.0793174437774
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,27,0.0821061476607
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,28,0.0783840183298
htru2,logistic_regression,dm_snr_standard_deviation,Dispersion-measure signal-to-noise ratio standard deviation,29,0.0779266037366
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,0,0.000804507136876
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,1,0.00499501598697
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,2,0.00744829369513
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,3,0.00221218644671
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,4,0.00701812885191
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,5,0.00308082535202
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,6,0.00267520972387
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,7,0.00545675872021
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,8,-0.000146491363156
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,9,0.00337542179597
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,10,-0.00180317586461
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,11,0.00288761550664
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,12,0.00482091998992
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,13,0.00463314465707
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,14,0.00336785383356
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,15,0.00111789375483
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,16,0.00245424674708
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,17,0.00331374279717
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,18,0.000974784289274
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,19,0.00566495547129
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,20,0.00182537863949
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,21,0.00573979957182
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,22,0.00207607497415
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,23,-0.000416653141617
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,24,0.00319089941561
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,25,0.00511113818413
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,26,0.00427260778426
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,27,0.0045204089477
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,28,0.00172718840069
htru2,logistic_regression,dm_snr_excess_kurtosis,Dispersion-measure signal-to-noise ratio excess kurtosis,29,0.00255859796964
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,0,0.00894960706973
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,1,0.00714634756162
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,2,0.00882379181678
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,3,0.0107176730632
htru2,logistic_regression,dm_snr_skewness,Dispersion-measure signal-to-noise ratio skewness,4,0.00573161258995
